YearStart,LocationAbbr,LocationDesc,Class,Topic,Question,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1,latitude,longitude,total_individuals
2017,WA,Washington,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,36.1,31.5,41.0,766.0,,,,"Less than $15,000",,"(47.522278629, -120.47001079)",FV,FV1,Q018,53,Income,"Less than $15,000",INC,INCLESS15,47.522278629,-120.47001079,276.526
2017,RI,Rhode Island,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,26.0,19.1,34.2,381.0,,,,"$25,000 - $34,999",,"(41.708280193, -71.522470314)",FV,FV1,Q019,44,Income,"$25,000 - $34,999",INC,INC2535,41.708280193,-71.522470314,99.06
2017,MA,Massachusetts,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,29.9,24.7,35.6,452.0,,,,,Hispanic,"(42.27687047, -72.082690675)",FV,FV1,Q018,25,Race/Ethnicity,Hispanic,RACE,RACEHIS,42.27687047,-72.082690675,135.148
2017,KY,Kentucky,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,Asian,"(37.645970271, -84.774971048)",FV,FV1,Q018,21,Race/Ethnicity,Asian,RACE,RACEASN,37.645970271,-84.774971048,
2017,HI,Hawaii,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,17.1,14.5,20.1,1124.0,45 - 54,,,,,"(21.304850435, -157.857749403)",FV,FV1,Q019,15,Age (years),45 - 54,AGEYR,AGEYR4554,21.304850435,-157.857749403,192.204
2017,VT,Vermont,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,,,,,,,,Asian,"(43.625381239, -72.517640791)",FV,FV1,Q018,50,Race/Ethnicity,Asian,RACE,RACEASN,43.625381239,-72.517640791,
2017,NM,New Mexico,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,41.2,38.5,43.8,2613.0,,,Male,,,"(34.520880952, -106.240580985)",FV,FV1,Q018,35,Gender,Male,GEN,MALE,34.520880952,-106.240580985,1076.556
2017,MO,Missouri,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,45.9,40.0,51.9,609.0,,,,"Less than $15,000",,"(38.635790776, -92.566300053)",FV,FV1,Q018,29,Income,"Less than $15,000",INC,INCLESS15,38.635790776,-92.566300053,279.531
2017,WV,West Virginia,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,19.8,11.8,31.4,104.0,,,,,Non-Hispanic Black,"(38.665510202, -80.712640135)",FV,FV1,Q019,54,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,38.665510202,-80.712640135,20.592000000000002
2017,AL,Alabama,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,25.5,21.6,29.9,679.0,,Less than high school,,,,"(32.840571122, -86.631860762)",FV,FV1,Q019,1,Education,Less than high school,EDU,EDUHS,32.840571122,-86.631860762,173.145
2017,GA,Georgia,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,22.2,19.5,25.0,1342.0,,High school graduate,,,,"(32.839681093, -83.627580346)",FV,FV1,Q019,13,Education,High school graduate,EDU,EDUHSGRAD,32.839681093,-83.627580346,297.924
2017,ND,North Dakota,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,28.6,23.4,34.4,335.0,18 - 24,,,,,"(47.475319779, -100.118421049)",FV,FV1,Q019,38,Age (years),18 - 24,AGEYR,AGEYR1824,47.475319779,-100.118421049,95.81000000000002
