LocationDesc,Data_Value
Colorado,22.944745762711865
District of Columbia,24.76462093862816
Hawaii,25.275174825174826
Massachusetts,25.336713286713287
California,26.34334470989761
New York,26.494463667820067
Utah,26.744444444444444
New Jersey,26.88167938931298
Florida,27.03721804511278
Vermont,27.220454545454544
Montana,27.30902255639098
Nevada,27.72781690140845
Connecticut,27.733101045296166
Rhode Island,28.06063829787234
New Hampshire,28.298859315589354
Washington,28.419867549668872
Oregon,28.68872727272727
Wyoming,28.95846153846154
Minnesota,28.995862068965515
Arizona,29.354576271186442
New Mexico,29.49154929577465
Idaho,29.73333333333333
Maine,29.974253731343286
National,30.120454545454546
Virginia,30.152613240418116
Maryland,30.283108108108106
Alaska,30.297132616487453
Illinois,30.340293040293037
Pennsylvania,30.668478260869566
Georgia,30.69094076655052
Puerto Rico,30.820634920634923
Guam,31.171
Delaware,31.400729927007298
North Carolina,31.839860139860143
Nebraska,32.072916666666664
South Dakota,32.15795454545455
Wisconsin,32.30571428571429
Michigan,32.46020761245675
Texas,32.48200692041522
Ohio,32.54554794520548
Kansas,32.88448275862069
Iowa,33.02693726937269
Missouri,33.05663082437276
North Dakota,33.12911877394636
South Carolina,33.17439446366782
Indiana,33.39337979094076
Tennessee,33.806390977443606
Virgin Islands,34.35434782608696
Oklahoma,34.43356890459364
Kentucky,34.6470802919708
Alabama,35.589416058394164
Arkansas,35.66557971014493
Louisiana,35.72051282051282
Mississippi,37.08714859437751
West Virginia,37.25852713178295
